id	description	en	local
def_01_block_s_desc		Basic cube-shaped building block.	基本立方形建筑块。
def_01_block_static_name		Static Block	基准块
def_01_block_static_desc		This block cannot be removed.	无法删除此块。
def_01_block_static_s_desc		Static root block used as a base for all vehicles.	用作所有载具底座的基准块。
def_01_block_weight_name		Weight Block	配重块
def_01_block_weight_desc		Weight blocks have a larger impact on the vehicle's centre of mass, making them useful for balance and stability.	配重块对载具的质心有较大的影响，使其有助于平衡和稳定。
def_01_block_weight_s_desc		Basic cube-shaped building block with an increased mass.	高重量的基本立方形建筑块。
def_02_wedge_name		Wedge	楔形块
def_02_wedge_desc		Components can be attached to all faces, with the exception of the sloped face.	组件可以附着到除斜面外的所有面。
def_02_wedge_s_desc		Basic wedge-shaped building block.	基本的楔形建筑块。
def_03_pyramid_name		Pyramid	锥形块
def_03_pyramid_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_03_pyramid_s_desc		Basic pyramid-shaped building block. 	基本的锥形建筑块。
def_04_invpyramid_name		Inverse Pyramid	倒锥形块
def_04_invpyramid_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	组件可以附加到除三角面的所有面。倒锥形块用于填补楔形块侧面和锥形块之间的间隙。
def_04_invpyramid_s_desc		Basic inverse pyramid-shaped building block.	基本的倒锥形建筑块。
def_05_wedge_2_name		Wedge 1x2	1x2楔形块
def_05_wedge_2_desc		Components can be attached to all faces, with the exception of the sloped face.	组件可以附着到除斜面外的所有面。
def_05_wedge_2_s_desc		1x2 wedge-shaped building block.	1x2楔形建筑块。
def_06_pyramid_2_name		Pyramid 1x2	1x2锥形块
def_06_pyramid_2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_06_pyramid_2_s_desc		1x2 pyramid-shaped building block. 	1x2楔形形建筑块。
def_07_invpyramid_2_name		Inverse pyramid 1x2	1x2倒锥形块
def_07_invpyramid_2_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	组件可以附加到组件可以附加到除三角面外的所有面所有面。倒锥形块用于填补楔形块侧面和锥形块之间的间。
def_07_invpyramid_2_s_desc		1x2 inverse pyramid-shaped building block.	1x2倒锥形建筑块。
def_08_wedge_4_name		Wedge 1x4	1x4楔形块
def_08_wedge_4_desc		Components can be attached to all faces, with the exception of the sloped face.	组件可以附着到除斜面外的所有面。
def_08_wedge_4_s_desc		1x4 wedge-shaped building block.	1x4楔形形建筑块。
def_09_pyramid_4_name		Pyramid 1x4	1x4锥形块
def_09_pyramid_4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_09_pyramid_4_s_desc		1x4 pyramid-shaped building block. 	1x4锥形建筑块。
def_10_invpyramid_4_name		Inverse Pyramid 1x4	1x4倒锥形块
def_10_invpyramid_4_desc		Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks.	组件可以附加到组件可以附加到除三角面外的所有面所有面。倒锥形块用于填补楔形块侧面和锥形块之间的间。
def_10_invpyramid_4_s_desc		1x4 inverse pyramid-shaped building block.	1x4倒锥形建筑块。
def_11_pyramid_2x2_name		Pyramid 2x2	楔形2x2
def_11_pyramid_2x2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_11_pyramid_2x2_s_desc		2x2 pyramid-shaped building block. 	2x2锥形建筑块。
def_12_pyramid_2x4_name		Pyramid 2x4	楔形2x4
def_12_pyramid_2x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_12_pyramid_2x4_s_desc		2x4 pyramid-shaped building block. 	2x4锥形建筑块。
def_13_pyramid_4x4_name		Pyramid 4x4	楔形4x4
def_13_pyramid_4x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_13_pyramid_4x4_s_desc		4x4 pyramid-shaped building block. 	4x4锥形建筑块。
def_14_invpyramid_2x2_name		Inverse Pyramid 2x2	倒楔形2x2
def_14_invpyramid_2x2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_14_invpyramid_2x2_s_desc		2x2 inverse pyramid-shaped building block.	2x2倒锥形建筑块。
def_15_invpyramid_2x4_name		Inverse Pyramid 2x4	倒楔形2x4
def_15_invpyramid_2x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_15_invpyramid_2x4_s_desc		2x4 inverse pyramid-shaped building block.	2x4倒锥形建筑块。
def_16_invpyramid_4x4_name		Inverse Pyramid 4x4	倒楔形4x4
def_16_invpyramid_4x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	组组件可以附加到除三角面外的所有面。锥形块可以作为楔形块侧面的角件。
def_16_invpyramid_4x4_s_desc		4x4 inverse pyramid-shaped building block.	4x4倒锥形建筑块。
def_aircraft_engine_name		Medium Engine	中型发动机
def_aircraft_engine_desc		An on/off signal controls engine startup and throttle signal controls energy output.	开/关信号控制发动机操作，油门信号控制能量输出。
def_aircraft_engine_s_desc		Medium diesel engine that can be connected to powered components.	可连接收到动力部件的中型柴油机。
def_aircraft_engine_node_0_label		Throttle	油门
def_aircraft_engine_node_0_desc		Standard value between 0 and 1 that controls the throttle of the engine.	控制发动机前进/后退油门的-1和1之间的标准值。
def_aircraft_engine_node_1_label		Starter	发动机开/关
def_aircraft_engine_node_1_desc		Increases the engine RPS using electrical power to start up the engine.	使用电能启动发动机来提高转速。
def_aircraft_engine_node_2_label		Power	动力
def_aircraft_engine_node_2_desc		The power supplied by the engine for inputting to other components.	发动机为输入其它部件而提供的动力。
def_aircraft_engine_node_3_label		Fuel	燃料
def_aircraft_engine_node_3_desc		The fuel supply for the engine.	发动机的燃料供应。
def_aircraft_engine_node_4_label		Air	气体
def_aircraft_engine_node_4_desc		The air supply for the engine.	发动机的气体供给。
def_aircraft_engine_node_5_label		In Coolant	冷却液进入
def_aircraft_engine_node_5_desc		The return flow (cold) for the coolant system.	连接冷却系统的输出(冷)。
def_aircraft_engine_node_6_label		Out Coolant	冷却液流出
def_aircraft_engine_node_6_desc		The output flow (hot) for the coolant system.	连接冷却系统的输入(热)。
def_aircraft_engine_node_7_label		Exhaust	排气
def_aircraft_engine_node_7_desc		Out flow for combusted fumes from the engine.	从发动机排出的燃烧废气。
def_aircraft_engine_node_8_label		Exhaust	排气
def_aircraft_engine_node_8_desc		Out flow for combusted fumes from the engine.	从发动机排出的燃烧废气。
def_aircraft_engine_node_9_label		RPS	转速(RPS)
def_aircraft_engine_node_9_desc		Output value giving data info on engine speed.	输出值，提供有关发动机转速的数据信息。
def_aircraft_engine_node_10_label		Temperature	温度
def_aircraft_engine_node_10_desc		Output value giving data info on engine temperature.	输出值，提供有关发动机温度的数据信息。
def_aircraft_engine_node_11_label		Electric	电源
def_aircraft_engine_node_11_desc		Electrical power connection.	电源连接。
def_aircraft_propeller_name		Aircraft Propeller	飞机螺旋桨
def_aircraft_propeller_desc		The amount of thrust produced is directly linked to how much torque it receives from a connected engine.	产生的推力大小取决于它从连接的发动机上获得的扭矩。
def_aircraft_propeller_s_desc		A large propeller that can be used to generate thrust.	可以用来产生推力的大螺旋桨。
def_aircraft_propeller_node_0_label		Power Received	接收动力
def_aircraft_propeller_node_0_desc		Receives power generated by an engine.	接收发动机产生的能量。
def_aircraft_propeller_node_1_label		Collective	桨距
def_aircraft_propeller_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	介于-1和1之间的标准值，表示桨距量。
def_air_exchanger_name		Air-Liquid Heat Exchanger 1x2	气-液热交换器 1x2
def_air_exchanger_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	一个冷却器，该冷却器以与组件尺寸成比例的速率平衡气体和液体的热量。
def_air_exchanger_s_desc		A heat exchanger that averages heat between air and a liquid.	一个平衡气体与液体温度的热交换器。
def_air_exchanger_node_0_label		Air In	气体输入
def_air_exchanger_node_0_desc		Input air port.	气体输入接口
def_air_exchanger_node_1_label		Air Out	气体输出
def_air_exchanger_node_1_desc		Output air port.	气体输出接口
def_air_exchanger_node_2_label		Fluid In	流体进出
def_air_exchanger_node_2_desc		Input fluid port.	流体进入接口
def_air_exchanger_node_3_label		Fluid Out	流体输出
def_air_exchanger_node_3_desc		Output fluid port.	流体输出接口
def_air_exchanger_node_4_label		Temp A	气体温度
def_air_exchanger_node_4_desc		Compartment air temperature.	热交换器气体温度
def_air_exchanger_node_5_label		Temp B	流体温度
def_air_exchanger_node_5_desc		Compartment water temperature.	热交换器流体温度
def_air_exchanger_5_2_name		Air-Liquid Heat Exchanger 5x2	气-液热交换器 5x2
def_air_exchanger_5_2_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	一个冷却器，该冷却器以与组件尺寸成比例的速率平衡气体和液体的热量。
def_air_exchanger_5_2_s_desc		A heat exchanger that averages heat between air and a liquid.	一个平衡气体与液体温度的热交换器。
def_air_exchanger_5_2_node_0_label		Air In	气体输入
def_air_exchanger_5_2_node_0_desc		Input air port.	气体输入接口
def_air_exchanger_5_2_node_1_label		Air Out	气体输出
def_air_exchanger_5_2_node_1_desc		Output air port.	气体输出接口
def_air_exchanger_5_2_node_2_label		Fluid In	流体进出
def_air_exchanger_5_2_node_2_desc		Input fluid port.	流体进入接口
def_air_exchanger_5_2_node_3_label		Fluid Out	流体输出
def_air_exchanger_5_2_node_3_desc		Output fluid port.	流体输出接口
def_air_exchanger_5_2_node_4_label		Temp A	气体温度
def_air_exchanger_5_2_node_4_desc		Compartment air temperature.	热交换器气体温度
def_air_exchanger_5_2_node_5_label		Temp B	流体温度
def_air_exchanger_5_2_node_5_desc		Compartment water temperature.	热交换器流体温度
def_air_exchanger_5_3_name		Air-Liquid Heat Exchanger 5x3	气-液热交换器 5x3
def_air_exchanger_5_3_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	一个冷却器，该冷却器以与组件尺寸成比例的速率平衡气体和液体的热量。
def_air_exchanger_5_3_s_desc		A heat exchanger that averages heat between air and a liquid.	一个平衡气体与液体温度的热交换器。
def_air_exchanger_5_3_node_0_label		Air In	气体输入
def_air_exchanger_5_3_node_0_desc		Input air port.	气体输入接口
def_air_exchanger_5_3_node_1_label		Air Out	气体输出
def_air_exchanger_5_3_node_1_desc		Output air port.	气体输出接口
def_air_exchanger_5_3_node_2_label		Fluid In	流体进出
def_air_exchanger_5_3_node_2_desc		 Input fluid port.	流体进入接口
